Název	Cena 	Četnost plateb	Kategorie	Popis	Vedoucí
Klub DofE 	150	pololetí	Ostatní	Klub plný aktivit pro středoškoláky v rámci mezinárodního projektu vévody z Edimburghu (www.dofe.cz). Ve čtvrtek od 18 do 19 hodin 1x za 14 dní.	 Miroslav Haška a Ivona Kubíková
Klub Kopretina se Zuzkou 	400	pololetí	Tvořivé	Pro dívky od 10 do 17 let. Schůzky vždy ve středu od 15 do 16, 30 hodin v DDM. Tvoření  z různých materiálů - drátků, korálků, ovčího rouna, skla, keramiky, kamenů, papíru, ubrousků, organzy aj., kombinace těchto materiálů. Výroba náušnic, náramků, náhrdelníků, svícnů z drátků, sošky z ovčího rouna, drátkovaných ozdob, triček zdobených savovou technikou aj. 	 Zuzana Holíková
Kopaná přípravka	500	pololetí	Sportovně - pohybové	Fotbalová dovednost, všestrannost, tréninky, zápasy. Pondělí a středa od 16,30 do 18 hodin, hřiště AFK Letovice,  od listopadu sportovní hala Letovice. 	 Alois Pelíšek, Milan Seidl, Jiří Ječný
Kopaná žáci 	500	pololetí	Sportovně - pohybové	Fotbalová dovednost, všestrannost, tréninky, zápasy. Pondělí a středa od 16,30 do 18 hodin, hřiště AFK Letovice,  od listopadu v tělocvičně ZŠ Komenského Letovice. 	 Petr Stria, Petr Heger
Kytara 	350	pololetí	Hudební a dramatické	Výuka akordů a základy hry, písničky nejen k táboráku. Pro děti od 10 let s vlastním nástrojem v úterý od 16 do 17 hodin. 	 Jakub Dorňák
Lezecký 	900	pololetí	Sportovně - pohybové	Základy uzlů, lezení, slaňování.  Lezení na umělé stěně. V ceně doprava, pojištění a pronájem tělocvičny i pomůcek ve Velkých Opatovicích, kde je nová lezecká stěna. Pro děti od 10 let. V úterý od 15 do 16,30 hodin.	 Ondřej Petrů
Malá atletika	420	pololetí	Sportovně - pohybové	Všestranná sportovní příprava, seznámení s atletikou, rozvoj obratnosti. Pro děti od 8 do 12 let. V pondělí od 16 do 17,30 hodin v areálu a tělocvičně ZŠ Komenského Letovice.	 Michaela Šaršonová (která v atletice reprezentuje ČR)
Mičuda	360	pololetí	Sportovně - pohybové	Sportovní hry, baseball, florbal, basketbal, přehazovaná, vybíjená, kopaná a ostatní nejen míčové hry. Pro děti od 7 let v tělocvičně ZŠ Komenského Letovice každé pondělí od 15,45 do 16,45 hodin. 	 Miroslav Haška
MOVE IT 	400	pololetí	Sportovně - pohybové	Tančit může každý! Pohybově-taneční kroužek, vyzkoušíme různé taneční styly, zahrajeme si hry, nacvičíme vystoupení. Schůzky v pátek od 15,00 do 16, 30 hodin v DDM. Pro dívky od 7 let. 	 Kateřina Korčáková
Orientační běh	360	pololetí	Sportovně - pohybové	Orientace v terénu pomocí mapy a buzoly, základy orientačního běhu, soutěže. Pro děti od 7 do 15 let. Ve čtvrtek  od 15 do 16,30 hodin.	 Jiří Procházka
